"Day","Site","Q"
2021-09-03,"STRT",1184.66259112361
2021-09-03,"VAUL",242.314678040955
2021-09-04,"FRCH",585.084574974015
2021-09-04,"MOOS",933.985196729711
2021-09-04,"POKE",NA
2021-09-04,"STRT",1162.82874908388
2021-09-04,"VAUL",227.721383144472
2021-09-05,"FRCH",577.46058555141
2021-09-05,"MOOS",907.694416931679
2021-09-05,"POKE",NA
2021-09-05,"STRT",1120.62199893163
2021-09-05,"VAUL",216.073907260736
2021-09-06,"FRCH",590.405132359883
2021-09-06,"MOOS",1094.25871865504
2021-09-06,"POKE",NA
2021-09-06,"STRT",1119.05155542269
2021-09-06,"VAUL",222.362499621288
2021-09-07,"FRCH",555.793410639149
2021-09-07,"MOOS",947.158531533196
2021-09-07,"POKE",NA
2021-09-07,"STRT",1085.29415974132
2021-09-07,"VAUL",211.99467915975
2021-09-08,"FRCH",544.262947598223
2021-09-08,"MOOS",867.093075766364
2021-09-08,"POKE",NA
2021-09-08,"STRT",1057.76818025215
2021-09-08,"VAUL",197.670373056098
2021-09-09,"FRCH",533.444139999538
2021-09-09,"MOOS",812.485274309222
2021-09-09,"POKE",647.338824843165
2021-09-09,"STRT",1042.93565776919
2021-09-09,"VAUL",186.579155549768
2021-09-10,"FRCH",521.739594044204
2021-09-10,"MOOS",762.932151357983
2021-09-10,"POKE",600.329044512993
2021-09-10,"STRT",1026.19141809131
2021-09-10,"VAUL",174.654856248167
2021-09-11,"FRCH",513.881104088523
2021-09-11,"MOOS",716.23648208749
2021-09-11,"POKE",724.926233781768
2021-09-11,"STRT",1016.88254596503
2021-09-11,"VAUL",167.368654966635
2021-09-12,"FRCH",501.038570805234
2021-09-12,"MOOS",674.355725589271
2021-09-12,"POKE",602.190291471772
2021-09-12,"STRT",1020.84487244749
2021-09-12,"VAUL",157.110519255583
2021-09-13,"FRCH",502.713183480071
2021-09-13,"MOOS",668.455660815605
2021-09-13,"POKE",516.04114652282
2021-09-13,"STRT",1009.82868986195
2021-09-13,"VAUL",156.499418502936
2021-09-14,"FRCH",481.629397668162
2021-09-14,"MOOS",603.290813644424
2021-09-14,"POKE",448.783658205411
2021-09-14,"STRT",944.181177157697
2021-09-14,"VAUL",150.278726226018
2021-09-15,"FRCH",468.594343706912
2021-09-15,"MOOS",563.163239264089
2021-09-15,"POKE",436.80520456358
2021-09-15,"STRT",922.520005901003
2021-09-15,"VAUL",142.553785942584
2021-09-16,"FRCH",467.610443122915
2021-09-16,"MOOS",556.354196386584
2021-09-16,"POKE",416.451139607271
2021-09-16,"STRT",908.171408932122
2021-09-16,"VAUL",140.239960015908
2021-09-17,"FRCH",456.098305860541
2021-09-17,"MOOS",532.592265771156
2021-09-17,"POKE",398.171035547881
2021-09-17,"STRT",879.719011005533
2021-09-17,"VAUL",135.215353827499
2021-09-18,"FRCH",445.168242094342
2021-09-18,"MOOS",501.650620814384
2021-09-18,"POKE",384.4908704009
2021-09-18,"STRT",847.502868656661
2021-09-18,"VAUL",134.410998990685
2021-09-19,"FRCH",439.041991717724
2021-09-19,"MOOS",501.03657288355
2021-09-19,"POKE",390.646279985993
2021-09-19,"STRT",854.423154816097
2021-09-19,"VAUL",132.342657981735
2021-09-20,"FRCH",451.269843692338
2021-09-20,"MOOS",502.479322045809
2021-09-20,"POKE",379.119843462728
2021-09-20,"STRT",828.712916861714
2021-09-20,"VAUL",134.191629489736
2021-09-21,"FRCH",445.406161510603
2021-09-21,"MOOS",531.94307413437
2021-09-21,"POKE",358.779073127545
2021-09-21,"STRT",810.409358297143
2021-09-21,"VAUL",124.487140614413
2021-09-22,"FRCH",426.00295847577
2021-09-22,"MOOS",471.769512606182
2021-09-22,"POKE",287.014708245688
2021-09-22,"STRT",797.593087872345
2021-09-22,"VAUL",109.86250721779
2021-09-23,"FRCH",427.024843163844
2021-09-23,"MOOS",456.076071854638
2021-09-23,"POKE",299.551535975131
2021-09-23,"STRT",812.810205809347
2021-09-23,"VAUL",132.373996481868
2021-09-24,"FRCH",433.583009689915
2021-09-24,"MOOS",487.19456369161
2021-09-24,"POKE",255.120912144977
2021-09-24,"STRT",793.736704082473
2021-09-24,"VAUL",120.752636014917
2021-09-25,"FRCH",418.003042356706
2021-09-25,"MOOS",485.850034754911
2021-09-25,"POKE",220.568191817455
2021-09-25,"STRT",774.619108690357
2021-09-25,"VAUL",111.210062723613
2021-09-26,"FRCH",401.27902398128
2021-09-26,"MOOS",456.130071671111
2021-09-26,"POKE",197.063301652361
2021-09-26,"STRT",758.707008632637
2021-09-26,"VAUL",107.39721187379
2021-09-27,"FRCH",394.829255210378
2021-09-27,"MOOS",436.255137505081
2021-09-27,"POKE",NA
2021-09-27,"STRT",752.036319999465
2021-09-27,"VAUL",109.902825034357
2021-09-28,"FRCH",NA
2021-09-28,"MOOS",NA
2021-09-28,"POKE",NA
2021-09-28,"STRT",NA
2021-09-29,"FRCH",NA
2021-09-29,"POKE",NA
2021-09-29,"STRT",NA
2021-09-30,"STRT",NA
NA,"FRCH",NA
